price,year,manufacturer,model,condition,odometer,transmission,lat,long
6800,2004.0,nissan,350z,,21274.0,manual,39.7039,-105.044
14800,2019.0,chevrolet,equinox,,10868.0,automatic,39.7039,-105.044
8995,2019.0,chevrolet,express 3500,,7974.0,automatic,39.7039,-105.044
6995,2017.0,dodge,charger,,35370.0,automatic,39.7039,-105.044
13495,2014.0,ford,f-150,,69614.0,automatic,39.7039,-105.044
0,2016.0,kia,k900,,18949.0,automatic,,
5995,2018.0,kia,forte,,34238.0,automatic,39.7039,-105.044
6995,2017.0,nissan,sentra,,46578.0,automatic,39.7039,-105.044
7995,2019.0,jeep,compass,,19548.0,automatic,39.7039,-105.044
7995,2019.0,dodge,grand caravan,,24008.0,automatic,39.7039,-105.044
0,2016.0,ford,f-150,excellent,10.0,automatic,40.5881,-111.884
7200,2004.0,lexus,es 330,excellent,150523.0,automatic,40.5881,-111.884
0,2016.0,ford,f-150,excellent,10.0,automatic,40.5881,-111.884
12000,2015.0,volkswagen,jetta,like new,65000.0,automatic,37.179,-113.707
4995,2013.0,toyota,prius,,116083.0,automatic,39.7039,-105.044
24999,2018.0,ford,transit cargo 250,,9389.0,automatic,47.7188,-122.197
4000,2011.0,nissan,altima 2.5 s,excellent,110000.0,automatic,40.6557,-111.886
49995,,,olet Silverado 2500HD,,28425.0,automatic,33.4583,-111.926
16999,2013.0,subaru,brz,excellent,32000.0,automatic,38.615,-121.272
22999,2017.0,subaru,wrx,excellent,39000.0,manual,38.615,-121.272
29999,2012.0,rover,sport,excellent,61000.0,automatic,38.615,-121.272
39999,2011.0,bmw,m3,excellent,29000.0,automatic,38.615,-121.272
21999,2014.0,bmw,7 series,excellent,76000.0,automatic,38.615,-121.272
31999,2018.0,alfa-romeo,romeo stelvio,excellent,22000.0,automatic,38.615,-121.272
24999,2016.0,bmw,4 series,excellent,56000.0,automatic,38.615,-121.272
16999,2016.0,chevrolet,colorado,excellent,59000.0,automatic,38.615,-121.272
21999,2015.0,bmw,3 series,excellent,56000.0,automatic,38.615,-121.272
14999,2005.0,bmw,645ci convertible,excellent,43000.0,automatic,38.615,-121.272
25999,2014.0,bmw,x6,excellent,49000.0,automatic,38.615,-121.272
28999,2017.0,ford,mustang,excellent,5000.0,manual,38.615,-121.272
28950,2019.0,ford,f-250 super duty xl,,2890.0,automatic,40.7475,-111.939
22995,2016.0,ram,1500,,54252.0,automatic,33.4583,-111.926
10550,2011.0,nissan,titan sv 4x4,,66328.0,automatic,40.7475,-111.939
49995,,,500,,8512.0,automatic,33.4583,-111.926
30995,2019.0,ford,edge,,14649.0,automatic,45.1637,-113.894
34995,,,olet Silverado 1500,,16161.0,automatic,33.4583,-111.926
12000,2005.0,ram,2500,excellent,159626.0,automatic,43.708,-116.751
58995,2017.0,ford,super duty f-250 srw,,32537.0,automatic,33.4583,-111.926
0,2008.0,,WORKHORSE W42,,,automatic,25.5935,-80.3618
38995,2016.0,ford,f-150,good,38086.0,automatic,44.355,-106.68
46995,2018.0,jeep,wrangler,good,20283.0,automatic,44.355,-106.68
14995,2010.0,ford,gt,good,28656.0,manual,44.355,-106.68
56995,2018.0,ford,expedition,good,34388.0,automatic,44.355,-106.68
10995,2011.0,gmc,acadia,good,135529.0,automatic,44.355,-106.68
16975,2013.0,honda,cr-v,,81226.0,automatic,39.6405,-104.961
0,2015.0,nissan,altima 2.5 sl,,29475.0,automatic,39.6405,-104.961
13999,2007.0,mercedes-benz,slk,,48130.0,automatic,39.6405,-104.961
21500,2015.0,gmc,sierra 1500,excellent,126520.0,automatic,38.6578,-112.126
3700,2005.0,mazda,3 hatchback,excellent,,automatic,37.0831,-113.558
34495,2012.0,chevrolet,silverado 3500 hd crew cab,,108437.0,automatic,37.1756,-113.608
17500,2018.0,toyota,c-hr,like new,33565.0,automatic,37.6775,-113.062
20495,2016.0,chevrolet,express 3500 passenger,,33293.0,automatic,37.1756,-113.608
22795,2015.0,mercedes-benz,sprinter 2500 passenger,,216694.0,automatic,37.1756,-113.608
6795,2010.0,chrysler,town & country,,123352.0,automatic,37.1756,-113.608
3150,2003.0,chevrolet,trailblazer,excellent,,automatic,37.1282,-113.676
5500,2006.0,chevrolet,silverado,,,automatic,36.1302,-115.275
8845,2010.0,chevrolet,malibu,excellent,61700.0,automatic,37.0816,-113.585
8490,2015.0,mitsubishi,mirage,excellent,51712.0,automatic,37.0816,-113.585
6445,2012.0,chevrolet,sonic,excellent,99587.0,automatic,37.0816,-113.585
7435,2004.0,ram,1500,excellent,201312.0,automatic,37.0816,-113.585
25495,2012.0,ram,3500 crew cab,,314464.0,automatic,37.1756,-113.608
5000,2003.0,toyota,tundra,good,209000.0,automatic,37.6775,-113.062
10499,2008.0,saturn,sky red line,good,89869.0,manual,37.1756,-113.608
7295,1981.0,chevrolet,blazer,excellent,88728.0,automatic,36.152,-115.109
23795,2009.0,chevrolet,silverado 2500 hd extended cab,,134031.0,automatic,37.1756,-113.608
9995,2008.0,gmc,w4500 hd dsl reg,excellent,200000.0,automatic,36.152,-115.109
26795,2015.0,chevrolet,silverado 2500 hd crew cab,,100616.0,automatic,37.1756,-113.608
29000,2014.0,ford,f-150,excellent,32000.0,automatic,37.1756,-113.608
7999,2006.0,ford,econoline e350,excellent,196000.0,automatic,37.1756,-113.608
27701,2017.0,mercedes-benz,glc300,excellent,39106.0,automatic,40.7548,-111.881
21000,2013.0,toyota,4runner,excellent,119000.0,automatic,37.0979,-113.233
6500,1999.0,nissan,frontier,excellent,75400.0,automatic,37.0831,-113.558
550,1992.0,mitsubishi,mighty max,,,manual,37.1364,-113.505
19000,2010.0,toyota,tundra,excellent,,automatic,37.6775,-113.062
4500,2004.0,volkswagen,new beetle,like new,74000.0,automatic,37.0831,-113.558
7500,1950.0,dodge,trucj,like new,1000.0,automatic,37.0831,-113.558
13500,2004.0,jeep,wrangler unlimited,excellent,133287.0,automatic,37.1364,-113.505
6000,1955.0,chrysler,windsor,good,0.0,automatic,37.0831,-113.558
1600,2004.0,ford,,,98000.0,automatic,37.179,-113.707
8995,2013.0,nissan,murano platinum,excellent,130423.0,automatic,37.1756,-113.608
2400,2002.0,chevrolet,tahoe ls,good,194956.0,automatic,37.1756,-113.608
7295,2007.0,hyundai,veracruz,excellent,77580.0,automatic,37.1756,-113.608
3495,2006.0,pontiac,g6 gtp,excellent,162033.0,automatic,37.1756,-113.608
3500,2009.0,toyota,camry,excellent,191538.0,automatic,37.1756,-113.608
8400,2008.0,chevrolet,tahoe z71,excellent,176353.0,automatic,37.1756,-113.608
3600,2006.0,mitsubishi,lancer,excellent,133000.0,automatic,37.1756,-113.608
4200,2006.0,honda,odyssey ex-l w/ dvd,good,129046.0,automatic,37.179,-113.707
39900,2015.0,bmw,x6 m,excellent,,automatic,36.2783,-115.02
18795,2015.0,toyota,avalon,,30680.0,automatic,37.1756,-113.608
13500,1977.0,chevrolet,c10,good,,automatic,37.1756,-113.608
17595,2010.0,ford,f150 supercrew cab,,135536.0,automatic,37.1756,-113.608
3200,2000.0,toyota,,excellent,,automatic,37.1756,-113.608
4200,2007.0,ford,focus,excellent,,automatic,37.1756,-113.608
3200,2008.0,mazda,6,good,,automatic,37.1756,-113.608
56995,2017.0,volvo,vnl,good,608498.0,automatic,34.0794,-117.455
22500,2016.0,ford,edge titanium awd,like new,46850.0,automatic,37.1254,-113.623
8300,2013.0,ford,escape se fwd,excellent,116500.0,automatic,37.1255,-113.624
1700,1999.0,toyota,corolla,good,135000.0,automatic,37.1364,-113.505
19495,2014.0,chevrolet,camaro,,78954.0,automatic,37.1756,-113.608
18295,2016.0,subaru,wrx,,50824.0,manual,37.1756,-113.608
22995,2018.0,nissan,frontier,like new,,automatic,37.0831,-113.558
12495,2015.0,volkswagen,golf,,75915.0,automatic,37.1756,-113.608
36900,2013.0,ford,f250 lariat 4x4,excellent,66800.0,automatic,37.0831,-113.558
16495,1951.0,chevrolet,deluxe,,72627.0,automatic,37.1756,-113.608
21500,2008.0,gmc,sierra 2500 hd,excellent,224878.0,automatic,37.0304,-113.613
16900,2017.0,toyota,rav4,like new,51300.0,automatic,37.455,-113.268
27400,2017.0,mercedes-benz,gla250 4matic,excellent,12340.0,automatic,40.7548,-111.881
12000,2012.0,ford,f-150,excellent,151000.0,automatic,37.1756,-113.608
1500,1998.0,,F150,fair,187000.0,automatic,37.179,-113.707
1800,2004.0,nissan,xterra,good,,automatic,37.0979,-113.233
10795,2014.0,volkswagen,passat,,79187.0,automatic,37.1756,-113.608
16695,2008.0,toyota,fj cruiser,,163658.0,automatic,37.1756,-113.608
9000,2007.0,chevrolet,tahoe,good,165000.0,automatic,37.0831,-113.558
11000,2001.0,jaguar,xk8,excellent,78000.0,automatic,40.9318,-109.392
9999,2012.0,volkswagen,golf,,69502.0,manual,37.1756,-113.608
6495,2008.0,jeep,liberty,,130535.0,automatic,37.1756,-113.608
9995,2013.0,volkswagen,passat,,85111.0,automatic,37.1756,-113.608
12795,2012.0,volkswagen,touareg,,140776.0,automatic,37.1756,-113.608
9795,2014.0,volkswagen,beetle,,106696.0,automatic,37.1756,-113.608
11495,2013.0,fiat,500,,26473.0,manual,37.1756,-113.608
17495,2012.0,ram,1500 quad cab,,82882.0,automatic,37.1756,-113.608
22495,2016.0,bmw,x1,,54489.0,automatic,37.1756,-113.608
9995,2012.0,kia,optima,,101172.0,automatic,37.1756,-113.608
4250,2004.0,ford,expedition,,203972.0,automatic,37.1756,-113.608
16995,2015.0,volvo,xc60,,69699.0,automatic,37.1756,-113.608
7995,2004.0,jeep,wrangler,,132920.0,manual,37.1756,-113.608
29795,2016.0,toyota,4runner,,57645.0,automatic,37.1756,-113.608
22795,2015.0,toyota,highlander,,54322.0,automatic,37.1756,-113.608
20495,2018.0,honda,civic,,17082.0,automatic,37.1756,-113.608
27795,2015.0,mercedes-benz,gl-class,,63380.0,automatic,37.1756,-113.608
6495,2013.0,hyundai,accent,,111060.0,automatic,37.1756,-113.608
12795,2014.0,ford,fusion,,66747.0,automatic,37.1756,-113.608
10795,2012.0,audi,a6,,96293.0,automatic,37.1756,-113.608
36495,2015.0,gmc,yukon,,88244.0,automatic,37.1756,-113.608
24595,2008.0,ram,3500 mega cab,,139400.0,automatic,37.1756,-113.608
15495,2015.0,ford,fiesta,,27730.0,manual,37.1756,-113.608
17495,2015.0,honda,odyssey,,62751.0,automatic,37.1756,-113.608
14495,2012.0,jeep,grand cherokee,,103117.0,automatic,37.1756,-113.608
18795,2014.0,gmc,acadia,,85961.0,automatic,37.1756,-113.608
9995,2012.0,jeep,liberty,,106169.0,automatic,37.1756,-113.608
8995,2012.0,toyota,prius v,,166594.0,automatic,37.1756,-113.608
12145,2017.0,nissan,sentra,,30853.0,automatic,37.1756,-113.608
7995,2009.0,subaru,outback,,134561.0,automatic,37.1756,-113.608
36455,2019.0,toyota,4runner,,13624.0,automatic,37.1756,-113.608
32475,2015.0,toyota,tundra crewmax,,61774.0,automatic,37.1756,-113.608
36795,2019.0,toyota,highlander,,12621.0,automatic,37.1756,-113.608
10595,2016.0,hyundai,elantra,,59645.0,automatic,37.1756,-113.608
10295,2013.0,toyota,camry,,154852.0,automatic,37.1756,-113.608
23995,2015.0,jeep,wrangler,,64438.0,automatic,37.1756,-113.608
13795,2017.0,nissan,altima,,64377.0,automatic,37.1756,-113.608
20945,2017.0,nissan,maxima,,31034.0,automatic,37.1756,-113.608
22795,2016.0,lexus,is,,27737.0,automatic,37.1756,-113.608
12000,2016.0,,nissian altima,like new,87000.0,automatic,37.0029,-112.966
2895,2003.0,chrysler,concord l,,,automatic,37.0979,-113.233
7900,2005.0,lexus,rx 330,excellent,130940.0,automatic,37.1756,-113.608
10500,1986.0,chevrolet,corvette,good,46500.0,automatic,36.8113,-114.123
8600,2008.0,lexus,is 250,excellent,131000.0,automatic,37.1756,-113.608
1600,1995.0,toyota,camry,,,automatic,37.179,-113.707
5900,2006.0,ram,1500 crew cab,excellent,148000.0,automatic,35.9917,-115.107
8000,2013.0,chevrolet,sonic ltz,like new,89000.0,automatic,37.1204,-113.609
5200,2004.0,dodge,durango 4x4,excellent,127465.0,automatic,37.1756,-113.608
9600,2006.0,ram,2500,excellent,97205.0,automatic,37.1756,-113.608
14255,2014.0,mini,cooper convertible,excellent,34265.0,automatic,37.1756,-113.608
14995,2015.0,toyota,prius,like new,43125.0,automatic,37.1756,-113.608
24800,2011.0,ram,2500 diesel,excellent,150505.0,automatic,37.1756,-113.608
14255,2008.0,ram,2500 slt,excellent,77235.0,automatic,37.1756,-113.608
0,2013.0,,International 4300M7 SBA 4x2,,,manual,35.4754,-120.664
31000,2016.0,ford,mustang gt premium,excellent,34000.0,automatic,37.1364,-113.505
2600,1986.0,toyota,tacoma,good,187000.0,manual,37.1756,-113.608
21900,2018.0,honda,civic,excellent,,manual,36.2783,-115.02
5995,2013.0,nissan,pathfinder sv,excellent,,automatic,37.1756,-113.608
1500,1998.0,ford,mustang,good,,automatic,37.1364,-113.505
3999,2007.0,ford,taurus sel,excellent,98430.0,automatic,37.1364,-113.505
22500,2014.0,jeep,wrangler unlimited,,65000.0,manual,37.0831,-113.558
500,1999.0,,A4 Quattro,fair,258000.0,automatic,37.7698,-111.598
5000,2001.0,chevrolet,silverado 2500hd,excellent,,automatic,37.0979,-113.233
4500,1997.0,ford,f-250,good,250000.0,automatic,37.0995,-113.61
15350,2017.0,nissan,altima,like new,40000.0,automatic,37.0979,-113.233
3350,1993.0,lexus,sc300,good,127000.0,automatic,37.0831,-113.558
8300,2011.0,ford,mustang,excellent,109050.0,automatic,37.1756,-113.608
23900,2013.0,bmw,x6,excellent,,manual,36.2783,-115.02
2000,1998.0,gmc,suburban 1500,fair,214048.0,automatic,37.1282,-113.676
2000,1977.0,chevrolet,k10,fair,100000.0,automatic,37.0491,-113.612
10700,2003.0,ford,f-350,good,315000.0,manual,36.5935,-114.468
18995,2008.0,ford,f250 super duty crew cab,,170909.0,automatic,37.1756,-113.608
18495,2007.0,chevrolet,silverado 2500 hd crew cab,,148411.0,automatic,37.1756,-113.608
10295,2015.0,chrysler,200,,65731.0,automatic,37.1756,-113.608
18995,2017.0,acura,ilx,,39238.0,automatic,37.1756,-113.608
25795,2011.0,gmc,sierra 2500 hd crew cab,,190330.0,automatic,37.1756,-113.608
24495,2016.0,honda,pilot,,75186.0,automatic,37.1756,-113.608
10795,2008.0,subaru,impreza,,119433.0,manual,37.1756,-113.608
18795,2016.0,dodge,challenger,,47639.0,automatic,37.1756,-113.608
42999,2001.0,bmw,m5,,53393.0,manual,37.1756,-113.608
15000,2008.0,ford,super duty f-350 drw,good,140500.0,automatic,37.0831,-113.558
12795,2015.0,honda,cr-v,,51197.0,automatic,37.1756,-113.608
26795,2016.0,bmw,x5,,83459.0,automatic,37.1756,-113.608
22795,2018.0,dodge,charger,,38446.0,automatic,37.1756,-113.608
17495,2015.0,cadillac,ats,,48201.0,automatic,37.1756,-113.608
5000,2010.0,honda,covic,excellent,173000.0,automatic,37.6775,-113.062
3000,2005.0,volvo,v70,good,,automatic,37.8981,-114.397
4895,2010.0,volkswagen,jetta,,127863.0,automatic,37.1756,-113.608
8495,1997.0,bmw,z3,,79420.0,manual,37.1756,-113.608
9795,2009.0,bmw,1 series,,71843.0,automatic,37.1756,-113.608
21795,2016.0,bmw,3 series,,41859.0,automatic,37.1756,-113.608
20795,2016.0,acura,tlx,,42866.0,automatic,37.1756,-113.608
42999,2001.0,bmw,m5,,53000.0,manual,37.1756,-113.608
11700,2014.0,mazda,cx-5 touring,excellent,37665.0,automatic,37.0831,-113.558
7750,2005.0,gmc,yukon xl 1500,,200960.0,automatic,37.1756,-113.608
9500,1997.0,jeep,wrangler,excellent,34500.0,manual,37.0475,-113.604
9995,2012.0,honda,civic,like new,8257.0,automatic,,
4895,2005.0,ford,freestar,good,66011.0,automatic,,
12495,2007.0,chevrolet,silverado (classic) 1500 crew cab,,146706.0,automatic,37.1756,-113.608
6995,2009.0,chevrolet,colorado,good,53577.0,automatic,,
3300,2002.0,ford,expedition,excellent,191400.0,automatic,37.0831,-113.558
6250,2005.0,volvo,xc90,,127365.0,automatic,37.1756,-113.608
36900,2012.0,ford,f-150,excellent,,automatic,36.2783,-115.02
14900,2012.0,chevrolet,g3500,excellent,,automatic,37.0559,-113.588
3700,1999.0,audi,a6,excellent,131850.0,automatic,37.0831,-113.558
9500,1999.0,chevrolet,g3500,excellent,157400.0,automatic,37.0563,-113.589
2999,1997.0,ford,f-150,good,100200.0,manual,37.1364,-113.505
7500,2002.0,ford,f-350,good,128000.0,automatic,37.6775,-113.062
3200,2005.0,gmc,yukon xl,good,214000.0,automatic,36.1302,-115.275
8800,2007.0,gmc,yukon,good,175000.0,automatic,37.1756,-113.608
9000,2005.0,chevrolet,silverado,good,171000.0,automatic,37.0831,-113.558
9495,2008.0,infiniti,g,,89923.0,automatic,37.1756,-113.608
14255,2008.0,ram,2500,like new,97205.0,automatic,37.1756,-113.608
6795,2014.0,fiat,500,,76736.0,automatic,37.1756,-113.608
8795,2013.0,chevrolet,malibu,,115059.0,automatic,37.1756,-113.608
6900,1991.0,ford,mustang lx 5.0,excellent,154800.0,automatic,37.0979,-113.233
39000,2012.0,gmc,sierra 2500hd,like new,97000.0,automatic,37.6775,-113.062
20495,2017.0,mazda,cx-5,,24577.0,automatic,37.1756,-113.608
8795,2010.0,toyota,tacoma regular cab,,123220.0,automatic,37.1756,-113.608
19795,2016.0,honda,cr-v,,33239.0,automatic,37.1756,-113.608
24495,2016.0,mercedes-benz,e-class,,25113.0,automatic,37.1756,-113.608
7895,2015.0,fiat,500,,67804.0,automatic,37.1756,-113.608
5800,1997.0,chevrolet,cheyenne 2500,excellent,141000.0,automatic,37.1038,-113.576
17395,2012.0,ram,1500 quad cab,,85741.0,automatic,37.1756,-113.608
8995,2018.0,nissan,versa,,48914.0,automatic,37.0803,-113.581
18495,2018.0,kia,sedona,,43043.0,automatic,37.0803,-113.581
20995,2016.0,subaru,outback,,35359.0,automatic,37.0803,-113.581
11500,2017.0,chevrolet,malibu,,30117.0,automatic,37.0803,-113.581
13500,2010.0,dodge,challenger,,88892.0,automatic,37.0803,-113.581
0,2017.0,ford,escape,,,automatic,37.3703,-79.181
4795,2005.0,honda,odyssey,,220287.0,automatic,37.1756,-113.608
34495,2012.0,chevrolet,silverado 3500 hd crew cab,,108437.0,automatic,37.1756,-113.608
6500,2011.0,hyundai,elantra,excellent,106736.0,automatic,37.1364,-113.505
3600,2007.0,chrysler,pacifica,excellent,138000.0,automatic,37.0979,-113.233
6795,2010.0,chrysler,town & country,,123352.0,automatic,37.1756,-113.608
22488,2015.0,chevrolet,camaro ss,like new,71624.0,automatic,37.6705,-113.549
23000,2017.0,,Mazda6 Grand Touring,excellent,8500.0,automatic,37.6775,-113.062
25495,2012.0,ram,3500 crew cab,,314464.0,automatic,37.1756,-113.608
8895,2011.0,chevrolet,express g2500,,54768.0,automatic,,
39666,2017.0,,FREIGHTLINER SPRINTER 3500,new,88.0,automatic,37.6775,-113.062
8000,2004.0,,BMW325CI,excellent,63000.0,automatic,37.0831,-113.558
2000,1986.0,jeep,cherokee chief,good,207411.0,manual,37.0831,-113.558
23500,2016.0,ford,mustang,excellent,5400.0,automatic,37.1089,-95.7776
11480,2018.0,ford,fiesta se hatchback,like new,36286.0,automatic,37.1677,-113.415
4567,2007.0,toyota,corolla,,148868.0,automatic,37.1677,-113.415
8900,2011.0,chevrolet,tahoe lt,good,156000.0,automatic,37.0992,-113.579
16500,2012.0,mitsubishi,lancer evolution mr,excellent,111136.0,automatic,37.0831,-113.558
6995,2015.0,ford,fiesta,excellent,40556.0,automatic,37.1756,-113.608
5995,2013.0,ford,fiesta se,excellent,42565.0,automatic,37.1756,-113.608
5995,2007.0,chevrolet,silverado 1500,excellent,196380.0,automatic,37.1756,-113.608
6495,2005.0,nissan,frontier se crew cab,excellent,161627.0,automatic,37.1756,-113.608
4200,2011.0,ford,escape,excellent,160772.0,automatic,37.1756,-113.608
3000,2006.0,kia,sorento,excellent,113819.0,automatic,37.1756,-113.608
2777,1998.0,lincoln,continental,excellent,131337.0,automatic,37.1756,-113.608
3750,2000.0,dodge,dakota quad cab,excellent,137000.0,automatic,37.1756,-113.608
3995,2002.0,ford,ranger,excellent,95559.0,automatic,37.1756,-113.608
5995,2011.0,chevrolet,malibu 1lt,excellent,111303.0,automatic,37.1756,-113.608
3995,2008.0,hyundai,sonata,excellent,151818.0,automatic,37.1756,-113.608
5295,2009.0,ford,fusion sel,excellent,93435.0,automatic,37.1756,-113.608
2995,2000.0,chevrolet,camero,excellent,186296.0,automatic,37.1756,-113.608
9995,2016.0,jeep,patriot sport,excellent,,other,37.1756,-113.608
